id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
58,11,Café Molido 250g,1,"2,053","2,053"
59,31,Mix de Frutos Secos 200g,1,"3,409","3,409"
59,8,Energética Nitro 500ml,2,"4,218","8,436"
59,97,Limpiavidrios 500ml,5,872,"4,360"
60,43,Salsa de Tomate 500g,1,887,887
60,98,Desengrasante 500ml,3,"2,843","8,529"
60,15,Leche Descremada 1L,1,"2,538","2,538"
60,21,Pan Lactal Integral,2,272,544
60,91,Desodorante Aerosol,4,"4,690","18,760"
61,9,Yerba Mate Suave 1kg,3,"3,878","11,634"
61,19,Manteca 200g,3,"3,251","9,753"
62,47,Garbanzos 500g,4,"2,939","11,756"
62,95,Mascarilla Capilar,3,"1,581","4,743"
63,8,Energética Nitro 500ml,5,"4,218","21,090"
63,2,Pepsi 1.5L,2,"4,973","9,946"
63,70,Fernet 750ml,3,"4,061","12,183"
63,45,Fideos Spaghetti 500g,4,745,"2,980"
64,4,Fanta Naranja 1.5L,2,"2,033","4,066"
64,41,Aceite de Girasol 1L,2,860,"1,720"
65,77,Empanadas Congeladas,4,"4,778","19,112"
65,22,Medialunas de Manteca,3,"2,069","6,207"
65,38,Mermelada de Frutilla 400g,5,"1,584","7,920"
65,36,Dulce de Leche 400g,4,"2,559","10,236"
66,16,Yogur Natural 200g,3,"4,613","13,839"
67,53,Lavandina 1L,1,"1,664","1,664"
67,8,Energética Nitro 500ml,2,"4,218","8,436"
68,94,Hilo Dental,4,"1,418","5,672"
69,76,Pizza Congelada Muzzarella,4,"4,286","17,144"
69,74,Whisky 750ml,3,"2,953","8,859"
70,66,Cerveza Negra 1L,3,"1,533","4,599"
70,89,Caldo Concentrado Verdura,4,"1,003","4,012"
70,38,Mermelada de Frutilla 400g,3,"1,584","4,752"
71,11,Café Molido 250g,3,"2,053","6,159"
71,79,Hamburguesas Congeladas x4,4,"2,420","9,680"
71,100,Trapo de Piso,4,"4,854","19,416"
71,92,Crema Dental 90g,1,"2,512","2,512"
72,94,Hilo Dental,3,"1,418","4,254"
72,41,Aceite de Girasol 1L,4,860,"3,440"
72,51,Sal Fina 500g,2,"1,745","3,490"
73,28,Papas Fritas Clásicas 100g,1,936,936
73,24,Galletitas Chocolate,3,"1,305","3,915"
73,19,Manteca 200g,1,"3,251","3,251"
74,32,Chocolate Amargo 100g,3,"2,234","6,702"
74,14,Leche Entera 1L,2,"1,723","3,446"
74,55,Shampoo 400ml,2,"1,407","2,814"
75,3,Sprite 1.5L,4,"4,964","19,856"
75,2,Pepsi 1.5L,5,"4,973","24,865"
76,22,Medialunas de Manteca,4,"2,069","8,276"
76,23,Bizcochos Salados,4,"2,380","9,520"
76,24,Galletitas Chocolate,1,"1,305","1,305"
76,11,Café Molido 250g,2,"2,053","4,106"
77,53,Lavandina 1L,2,"1,664","3,328"
77,41,Aceite de Girasol 1L,1,860,860
77,34,Turrón 50g,5,503,"2,515"
77,98,Desengrasante 500ml,2,"2,843","5,686"
77,39,Helado Vainilla 1L,2,469,938
78,37,Mermelada de Durazno 400g,3,"3,196","9,588"
78,79,Hamburguesas Congeladas x4,5,"2,420","12,100"
78,17,Queso Cremoso 500g,2,"4,834","9,668"
78,85,Jugo en Polvo Naranja,1,"1,856","1,856"
78,39,Helado Vainilla 1L,2,469,938
79,81,Aceitunas Verdes 200g,2,"2,520","5,040"
79,56,Papel Higiénico x4,2,"2,532","5,064"
80,39,Helado Vainilla 1L,5,469,"2,345"
80,30,Maní Salado 200g,3,"4,875","14,625"
80,41,Aceite de Girasol 1L,5,860,"4,300"
81,10,Yerba Mate Intensa 1kg,2,"4,883","9,766"
82,38,Mermelada de Frutilla 400g,1,"1,584","1,584"
82,28,Papas Fritas Clásicas 100g,2,936,"1,872"
82,29,Papas Fritas Onduladas 100g,5,"1,868","9,340"
82,82,Aceitunas Negras 200g,2,"2,394","4,788"
83,5,Agua Mineral 500ml,2,"4,777","9,554"
83,26,Alfajor Triple,2,"1,001","2,002"
83,73,Gin 700ml,5,"1,561","7,805"
83,51,Sal Fina 500g,2,"1,745","3,490"
84,83,Queso Untable 190g,5,"1,830","9,150"
84,76,Pizza Congelada Muzzarella,4,"4,286","17,144"
85,32,Chocolate Amargo 100g,4,"2,234","8,936"
85,80,Helado de Frutilla 1L,2,"1,981","3,962"
86,66,Cerveza Negra 1L,2,"1,533","3,066"
86,1,Coca Cola 1.5L,4,"2,347","9,388"
86,13,Té Verde 20 saquitos,5,"2,383","11,915"
86,41,Aceite de Girasol 1L,3,860,"2,580"
87,53,Lavandina 1L,2,"1,664","3,328"
87,86,Jugo en Polvo Limón,2,"4,090","8,180"
88,7,Jugo de Manzana 1L,5,"3,269","16,345"
88,53,Lavandina 1L,5,"1,664","8,320"
88,8,Energética Nitro 500ml,4,"4,218","16,872"
89,72,Ron 700ml,2,"3,876","7,752"
90,79,Hamburguesas Congeladas x4,4,"2,420","9,680"
90,6,Jugo de Naranja 1L,2,"4,170","8,340"
91,57,Servilletas x100,3,"4,520","13,560"
92,10,Yerba Mate Intensa 1kg,2,"4,883","9,766"
92,43,Salsa de Tomate 500g,4,887,"3,548"
93,80,Helado de Frutilla 1L,4,"1,981","7,924"
93,66,Cerveza Negra 1L,3,"1,533","4,599"
93,91,Desodorante Aerosol,3,"4,690","14,070"
94,24,Galletitas Chocolate,1,"1,305","1,305"
94,86,Jugo en Polvo Limón,5,"4,090","20,450"
94,98,Desengrasante 500ml,2,"2,843","5,686"
95,72,Ron 700ml,5,"3,876","19,380"
95,12,Té Negro 20 saquitos,1,570,570
96,81,Aceitunas Verdes 200g,3,"2,520","7,560"
96,68,Vino Blanco 750ml,1,"2,684","2,684"
96,11,Café Molido 250g,2,"2,053","4,106"
96,50,Azúcar 1kg,3,727,"2,181"
97,59,Chicle Menta,5,"3,612","18,060"
97,36,Dulce de Leche 400g,1,"2,559","2,559"
97,4,Fanta Naranja 1.5L,3,"2,033","6,099"
98,28,Papas Fritas Clásicas 100g,4,936,"3,744"
98,61,Miel Pura 250g,1,"4,982","4,982"
98,29,Papas Fritas Onduladas 100g,1,"1,868","1,868"
98,83,Queso Untable 190g,3,"1,830","5,490"
99,40,Helado Chocolate 1L,5,"1,215","6,075"
100,13,Té Verde 20 saquitos,3,"2,383","7,149"
100,18,Queso Rallado 150g,4,"3,444","13,776"
100,58,Caramelos Masticables,2,"4,752","9,504"
100,57,Servilletas x100,1,"4,520","4,520"
100,9,Yerba Mate Suave 1kg,4,"3,878","15,512"
101,34,Turrón 50g,4,503,"2,012"
102,78,Verduras Congeladas Mix,3,"4,289","12,867"
102,36,Dulce de Leche 400g,3,"2,559","7,677"
103,79,Hamburguesas Congeladas x4,5,"2,420","12,100"
103,43,Salsa de Tomate 500g,5,887,"4,435"
103,34,Turrón 50g,1,503,503
103,70,Fernet 750ml,1,"4,061","4,061"
104,95,Mascarilla Capilar,2,"1,581","3,162"
104,68,Vino Blanco 750ml,3,"2,684","8,052"
104,68,Vino Blanco 750ml,5,"2,684","13,420"
105,13,Té Verde 20 saquitos,2,"2,383","4,766"
105,4,Fanta Naranja 1.5L,4,"2,033","8,132"
105,58,Caramelos Masticables,2,"4,752","9,504"
105,82,Aceitunas Negras 200g,4,"2,394","9,576"
105,43,Salsa de Tomate 500g,5,887,"4,435"
106,88,Caldo Concentrado Carne,3,"2,570","7,710"
107,7,Jugo de Manzana 1L,4,"3,269","13,076"
107,11,Café Molido 250g,2,"2,053","4,106"
107,12,Té Negro 20 saquitos,4,570,"2,280"
107,5,Agua Mineral 500ml,4,"4,777","19,108"
108,90,Toallas Húmedas x50,4,"2,902","11,608"
109,18,Queso Rallado 150g,1,"3,444","3,444"
109,74,Whisky 750ml,1,"2,953","2,953"
109,20,Pan Lactal Blanco,2,"1,571","3,142"
109,44,Arroz Largo Fino 1kg,5,"2,979","14,895"
110,6,Jugo de Naranja 1L,1,"4,170","4,170"
110,59,Chicle Menta,3,"3,612","10,836"
110,6,Jugo de Naranja 1L,5,"4,170","20,850"
111,97,Limpiavidrios 500ml,4,872,"3,488"
111,93,Cepillo de Dientes,3,"2,142","6,426"
111,20,Pan Lactal Blanco,2,"1,571","3,142"
111,23,Bizcochos Salados,4,"2,380","9,520"
112,55,Shampoo 400ml,1,"1,407","1,407"
112,21,Pan Lactal Integral,4,272,"1,088"
112,43,Salsa de Tomate 500g,5,887,"4,435"
112,13,Té Verde 20 saquitos,2,"2,383","4,766"
112,59,Chicle Menta,1,"3,612","3,612"
113,53,Lavandina 1L,2,"1,664","3,328"
113,92,Crema Dental 90g,3,"2,512","7,536"
114,8,Energética Nitro 500ml,1,"4,218","4,218"
114,84,Queso Azul 150g,1,"1,645","1,645"
114,10,Yerba Mate Intensa 1kg,1,"4,883","4,883"
114,55,Shampoo 400ml,5,"1,407","7,035"
114,92,Crema Dental 90g,4,"2,512","10,048"
115,17,Queso Cremoso 500g,4,"4,834","19,336"
115,97,Limpiavidrios 500ml,5,872,"4,360"
115,95,Mascarilla Capilar,4,"1,581","6,324"
115,84,Queso Azul 150g,2,"1,645","3,290"
116,65,Cerveza Rubia 1L,1,"2,423","2,423"
116,35,Barrita de Cereal 30g,2,"4,430","8,860"
116,42,Vinagre de Alcohol 500ml,4,"1,195","4,780"
116,54,Jabón de Tocador,5,"1,592","7,960"
116,90,Toallas Húmedas x50,4,"2,902","11,608"
117,67,Vino Tinto Malbec 750ml,4,"4,719","18,876"
117,61,Miel Pura 250g,2,"4,982","9,964"
118,68,Vino Blanco 750ml,5,"2,684","13,420"
118,68,Vino Blanco 750ml,3,"2,684","8,052"
118,70,Fernet 750ml,2,"4,061","8,122"
118,93,Cepillo de Dientes,3,"2,142","6,426"
118,50,Azúcar 1kg,2,727,"1,454"
119,45,Fideos Spaghetti 500g,5,745,"3,725"
120,20,Pan Lactal Blanco,5,"1,571","7,855"
